iter	Passed	Remaining
618	2655	1634
619	2660	1630
620	2663	1625
621	2667	1620
622	2672	1617
623	2675	1612
624	2680	1608
625	2684	1603
626	2688	1599
627	2693	1595
628	2696	1590
629	2701	1586
630	2705	1581
631	2709	1577
632	2714	1573
633	2717	1568
634	2721	1564
635	2725	1560
636	2729	1555
637	2733	1550
638	2736	1546
639	2741	1541
640	2745	1537
641	2748	1532
642	2752	1528
643	2756	1523
644	2761	1519
645	2766	1516
646	2770	1511
647	2774	1507
648	2779	1503
649	2783	1498
650	2787	1494
651	2791	1489
652	2795	1485
653	2798	1480
654	2802	1475
655	2807	1472
656	2812	1468
657	2815	1463
658	2820	1459
659	2824	1455
660	2828	1450
661	2833	1446
662	2836	1441
663	2842	1438
664	2847	1434
665	2852	1430
666	2856	1425
667	2861	1422
668	2867	1418
669	2873	1415
670	2879	1411
671	2882	1406
672	2886	1402
673	2891	1398
674	2894	1393
675	2900	1390
676	2903	1385
677	2907	1380
678	2912	1376
679	2916	1372
680	2920	1367
681	2927	1365
682	2934	1361
683	2939	1358
684	2942	1353
685	2948	1349
686	2952	1345
687	2957	1341
688	2961	1336
689	2965	1332
690	2968	1327
691	2973	1323
692	2978	1319
693	2981	1314
694	2987	1310
695	2992	1306
696	2996	1302
697	3001	1298
698	3006	1294
699	3011	1290
700	3014	1285
701	3019	1281
702	3024	1277
703	3028	1273
704	3034	1269
705	3038	1265
706	3042	1260
707	3046	1256
708	3052	1253
709	3058	1249
710	3063	1245
711	3066	1240
712	3070	1236
713	3076	1232
714	3080	1227
715	3085	1223
716	3090	1219
717	3096	1215
718	3099	1211
719	3103	1206
720	3107	1202
721	3111	1197
722	3115	1193
723	3118	1188
724	3122	1184
725	3126	1179
726	3130	1175
727	3134	1171
728	3138	1166
729	3144	1162
730	3147	1158
731	3151	1153
732	3156	1149
733	3161	1145
734	3164	1141
735	3169	1136
736	3172	1132
737	3176	1127
738	3179	1123
739	3182	1118
740	3186	1113
741	3190	1109
742	3194	1104
743	3198	1100
744	3201	1095
745	3204	1091
746	3208	1086
747	3211	1082
748	3215	1077
749	3218	1072
750	3222	1068
751	3226	1064
752	3229	1059
753	3233	1054
754	3236	1050
755	3241	1046
756	3244	1041
757	3248	1037
758	3251	1032
759	3255	1028
760	3258	1023
761	3262	1018
762	3265	1014
763	3269	1009
764	3272	1005
765	3276	1000
766	3280	996
767	3284	992
768	3287	987
769	3291	983
770	3295	978
771	3298	974
772	3302	969
773	3306	965
774	3309	960
775	3313	956
776	3316	951
777	3321	947
778	3324	943
779	3328	938
780	3332	934
781	3335	929
782	3339	925
783	3343	921
784	3348	917
785	3352	912
786	3355	908
787	3359	903
788	3362	899
789	3367	895
790	3371	890
791	3375	886
792	3378	881
793	3382	877
794	3385	873
795	3389	868
796	3393	864
797	3396	859
798	3409	857
799	3413	853
800	3417	848
801	3421	844
802	3424	840
803	3429	836
804	3433	831
805	3437	827
806	3441	823
807	3444	818
808	3449	814
809	3452	809
810	3456	805
811	3459	801
812	3462	796
813	3466	792
814	3469	787
815	3473	783
816	3477	778
817	3480	774
818	3484	769
819	3487	765
820	3490	761
821	3495	757
822	3499	752
823	3502	748
824	3507	744
825	3511	739
826	3515	735
827	3518	730
828	3522	726
829	3525	722
830	3528	717
831	3531	713
832	3535	708
833	3538	704
834	3542	700
835	3546	695
836	3549	691
837	3554	687
838	3558	682
839	3561	678
840	3565	674
841	3568	669
842	3572	665
843	3575	660
844	3578	656
845	3582	652
846	3586	647
847	3589	643
848	3593	639
849	3596	634
850	3600	630
851	3603	626
852	3607	621
853	3611	617
854	3614	613
855	3618	608
856	3622	604
857	3625	600
858	3629	595
859	3632	591
860	3635	586
861	3639	582
862	3643	578
863	3647	574
864	3651	569
865	3654	565
866	3658	561
867	3661	556
868	3664	552
869	3668	548
870	3671	543
871	3675	539
872	3679	535
873	3682	530
874	3687	526
875	3691	522
876	3695	518
877	3699	514
878	3703	509
879	3707	505
880	3710	501
881	3714	496
882	3718	492
883	3721	488
884	3725	484
885	3729	479
886	3732	475
887	3736	471
888	3740	467
889	3743	462
890	3748	458
891	3752	454
892	3758	450
893	3768	446
894	3774	442
895	3778	438
896	3783	434
897	3787	430
898	3791	425
899	3795	421
900	3799	417
901	3802	413
902	3806	408
903	3810	404
904	3814	400
905	3819	396
906	3823	392
907	3827	387
908	3830	383
909	3834	379
910	3838	375
911	3842	370
912	3845	366
913	3849	362
914	3854	358
915	3858	353
916	3861	349
917	3865	345
918	3869	341
919	3873	336
920	3877	332
921	3881	328
922	3887	324
923	3891	320
924	3894	315
925	3900	311
926	3903	307
927	3909	303
928	3915	299
929	3920	295
930	3923	290
931	3927	286
932	3931	282
933	3935	278
934	3939	273
935	3942	269
936	3947	265
937	3950	261
938	3954	256
939	3957	252
940	3961	248
941	3965	244
942	3968	239
943	3972	235
944	3975	231
945	3979	227
946	3983	222
947	3986	218
948	3990	214
949	3993	210
950	3998	206
951	4001	201
952	4006	197
953	4009	193
954	4013	189
955	4016	184
956	4020	180
957	4023	176
958	4027	172
959	4031	167
960	4035	163
961	4040	159
962	4044	155
963	4047	151
964	4051	146
965	4054	142
966	4058	138
967	4061	134
968	4066	130
969	4069	125
970	4072	121
971	4075	117
972	4081	113
973	4085	109
974	4089	104
975	4093	100
976	4098	96
977	4101	92
978	4106	88
979	4109	83
980	4113	79
981	4117	75
982	4121	71
983	4126	67
984	4130	62
985	4133	58
986	4137	54
987	4140	50
988	4144	46
989	4148	41
990	4152	37
991	4156	33
992	4160	29
993	4164	25
994	4167	20
995	4171	16
996	4174	12
997	4178	8
998	4181	4
999	4185	0
